10;12
10;31
10;34
10;10
10;1
10;10
10;1
10;5
10;27
10;3
10;1
10;20
10;57
10;14
10;68
10;3
10;42
10;34
10;1
10;15
10;1
10;5
10;77
10;5
10;9
10;2
10;7
10;13
10;6
10;6
10;8
10;3
10;41
10;17
10;8
10;20
10;5
10;4
10;13
10;3
10;1
10;1
10;4
10;9
10;1
10;10
10;6
10;7
10;25
10;8
10;8
10;5
10;19
10;3
10;3
10;2
10;6
10;15
10;11
10;24
10;11
10;12
10;1
10;7
10;15
10;5
10;25
10;4
10;3
10;2
10;2
10;4
10;12
10;24
10;3
10;2
10;19
10;38
10;1
10;2
10;1
10;13
10;2
10;31
10;12
10;51
10;4
10;1
10;9
10;1
10;1
10;1
10;2
10;1
10;25
10;36
10;1
10;1
10;5
10;2
