10;13.936
15;33.761
20;61.471
25;82.142
30;127.072
35;168.27
40;210.304
45;284.309
50;362.073
55;425.989
60;528.585
65;615.862
70;655.181
75;779.033
80;880.824
85;1018.98
90;1171.69
95;1243.94
100;1407.48
105;1555.22
110;1756.43
115;1965.55
120;2158.36
125;2298.85
130;2540.04
135;2609.04
140;2947.68
145;2912.24
150;3073.14
155;3575.47
160;3732.06
165;3484.84
170;3973.12
175;4411.2
180;4029.46
185;4578.41
190;5190.19
195;5359.36
200;5569.07
205;6410.03
210;6487.19
215;6225.61
220;6716.57
225;6748.18
230;7533.41
235;7751.2
240;7981.04
245;7979.06
250;8812.38
255;8945.83
260;9453.93
265;9653.82
270;10297.3
275;10188
280;10617.1
285;10657.2
290;10903.5
295;13123.4
300;12756.9
305;12795.4
310;13177.3
315;14493.8
320;13682.5
325;15693.1
330;15311.4
335;16209.7
340;17333.7
345;16427
350;16077.1
355;17001.6
360;18059.4
365;18848
370;21199.7
375;19612.4
380;19610.3
385;21273.1
390;21610.7
395;21869.8
400;22292.2
405;21622.6
410;25190.5
415;24267.8
420;26881.9
425;26767.4
430;27084.9
435;25287.4
440;28278.3
445;29544.8
450;28252.9
455;28753
460;30623.7
465;31520.1
470;31296.6
475;30295.6
480;33559.8
485;31486.5
490;32234.7
