1;1191.49
2;614.23
3;465.4
4;328.89
5;258.05
6;218.57
7;181.39
8;153.94
9;138.08
10;123.63
11;113.78
12;94.76
13;92.23
14;77.24
15;69.06
16;68.87
17;63.43
18;55.27
19;51.33
20;49.74
21;46.49
22;43.21
23;41.59
24;38.7
25;36.07
26;32.81
27;33.42
28;28.81
29;29.32
30;26.85
31;26.41
32;24.39
33;23.5
34;21.67
35;20.76
36;20.9
37;19.38
38;19.59
39;17.96
40;16.98
41;16.56
42;16.25
43;15.34
44;14.86
45;13.93
46;14.05
47;13.61
48;13.17
49;13.22
50;12.3
51;12.09
52;11.54
53;11
54;10.59
55;10.7
56;10.51
57;9.65
58;9.5
59;9.15
60;8.85
61;8.84
62;8.44
63;8.01
64;8.15
65;7.73
66;7.69
67;7.55
68;7.2
69;7.06
70;7.19
71;6.99
72;6.72
73;6.4
74;6.35
75;6.2
76;5.93
77;5.81
78;5.8
79;5.57
80;5.7
81;5.3
82;5.04
83;5.14
84;4.98
85;4.97
86;4.58
87;4.86
88;4.62
89;4.52
90;4.46
91;4.37
92;3.99
93;4.12
94;3.76
